Wavelength,PLANKC_2100
9.7087E+02,1.6807E-08
9.6618E+02,7.3027E-09
9.6154E+02,2.5074E-09
9.5694E+02,4.5694E-09
9.5238E+02,3.6154E-09
9.4787E+02,2.6582E-09
9.4340E+02,3.1194E-09
9.3897E+02,4.2522E-09
9.3458E+02,2.8325E-09
9.3023E+02,2.3727E-09
9.2593E+02,1.7749E-09
9.2166E+02,1.5278E-09
9.1743E+02,3.0351E-09
9.1324E+02,3.1012E-09
9.0909E+02,3.3123E-09
9.0498E+02,2.4290E-09
9.0090E+02,1.1706E-09
8.9686E+02,5.5707E-09
8.9286E+02,6.3011E-09
8.8889E+02,1.6157E-08
8.8496E+02,3.0199E-08
8.8106E+02,4.3360E-08
8.7719E+02,6.2449E-08
8.7336E+02,1.1932E-07
8.6957E+02,1.5948E-07
8.6580E+02,1.3394E-07
8.6207E+02,9.3061E-08
8.5837E+02,1.1496E-07
8.5470E+02,1.6562E-07
8.5106E+02,1.6791E-07
8.4746E+02,1.1878E-07
8.4388E+02,5.6742E-08
8.4034E+02,3.6406E-09
8.3682E+02,4.3421E-08
8.3333E+02,3.3875E-08
8.2988E+02,3.8651E-08
8.2645E+02,9.3579E-08
8.2305E+02,7.4889E-08
8.1967E+02,1.1594E-08
8.1633E+02,1.5606E-08
8.1301E+02,1.9478E-08
8.0972E+02,2.4377E-08
8.0645E+02,2.8517E-08
8.0321E+02,2.9851E-08
8.0000E+02,3.7206E-08
7.9681E+02,2.6520E-08
7.9365E+02,1.5002E-08
7.9051E+02,1.2224E-08
7.8740E+02,2.6409E-08
7.8431E+02,4.1499E-08
7.8125E+02,3.4238E-08
7.7821E+02,3.1883E-08
7.7519E+02,3.5457E-08
7.7220E+02,3.4825E-08
7.6923E+02,1.8437E-08
7.6628E+02,4.8476E-09
7.6336E+02,6.4916E-10
7.6046E+02,3.0592E-09
7.5758E+02,7.0321E-09
7.5472E+02,6.0429E-09
7.5188E+02,1.9572E-09
7.4906E+02,1.4779E-09
7.4627E+02,1.7549E-09
7.4349E+02,1.0748E-09
7.4074E+02,1.3783E-09
7.3801E+02,1.0641E-09
7.3529E+02,1.1542E-09
7.3260E+02,6.7698E-10
7.2993E+02,3.0554E-10
7.2727E+02,3.6605E-10
7.2464E+02,1.6360E-09
7.2202E+02,1.6982E-09
7.1942E+02,3.8470E-10
