Wavelength,PLANCK_850
8.9218E+02,8.5538E-01
8.9204E+02,8.6018E-01
8.9191E+02,8.6438E-01
8.9179E+02,8.6765E-01
8.9178E+02,8.6786E-01
8.9165E+02,8.7053E-01
8.9151E+02,8.7233E-01
8.9138E+02,8.7321E-01
8.9125E+02,8.7317E-01
8.9111E+02,8.7221E-01
8.9098E+02,8.7036E-01
8.9085E+02,8.6770E-01
8.9072E+02,8.6429E-01
8.9058E+02,8.6024E-01
8.9045E+02,8.5565E-01
8.9045E+02,8.5555E-01
8.9032E+02,8.5064E-01
8.9019E+02,8.4534E-01
8.9005E+02,8.3988E-01
8.8992E+02,8.3437E-01
8.8979E+02,8.2895E-01
8.8966E+02,8.2372E-01
8.8952E+02,8.1880E-01
8.8939E+02,8.1427E-01
8.8926E+02,8.1023E-01
8.8913E+02,8.0674E-01
8.8911E+02,8.0640E-01
8.8899E+02,8.0386E-01
8.8886E+02,8.0163E-01
8.8873E+02,8.0008E-01
8.8860E+02,7.9923E-01
8.8847E+02,7.9908E-01
8.8833E+02,7.9961E-01
8.8820E+02,8.0080E-01
8.8807E+02,8.0260E-01
8.8794E+02,8.0496E-01
8.8781E+02,8.0783E-01
8.8778E+02,8.0843E-01
8.8768E+02,8.1113E-01
8.8754E+02,8.1477E-01
8.8741E+02,8.1868E-01
8.8728E+02,8.2276E-01
8.8715E+02,8.2691E-01
8.8702E+02,8.3104E-01
8.8689E+02,8.3505E-01
8.8675E+02,8.3885E-01
8.8662E+02,8.4236E-01
8.8649E+02,8.4549E-01
8.8645E+02,8.4628E-01
8.8636E+02,8.4817E-01
8.8623E+02,8.5035E-01
8.8610E+02,8.5199E-01
8.8597E+02,8.5304E-01
8.8584E+02,8.5349E-01
8.8570E+02,8.5335E-01
8.8557E+02,8.5262E-01
8.8544E+02,8.5133E-01
8.8531E+02,8.4953E-01
